Codigo,Nombre,este,norte,area,distrito,comunidad,Provincia,tipo
CHANCA-01,ALCCACCOTA QOCHA,261361.66,8383573.06,1.14,KUNTURKANKI,C.C. Oquebamba,Canas,Qocha
CHANCA-03,CHANCA-03,262291.07,8382382.71,4.57,KUNTURKANKI,C.C. Oquebamba,Canas,Presa
CHANCA-05,ÑAWINQOCHA ISKAY,263887.79,8382296.59,7.09,KUNTURKANKI,C.C. Oquebamba,Canas,Presa
CHANCA-06,KINSAQOCHA,264281.55,8382507.02,0.74,KUNTURKANKI,C.C. Oquebamba,Canas,Qocha
CHANCA-07,CHANCA-07,264286.27,8382872.08,8.65,KUNTURKANKI,C.C. Oquebamba,Canas,Presa
CHANCA-11,WARMI HUATA,262251.19,8384295.53,1.97,KUNTURKANKI,C.C. Oquebamba,Canas,Qocha
CHANCA-15,CHANCA-15,259467.92,8386545.1,2.69,KUNTURKANKI,C.C. Casillo,Canas,Presa
CHANCA-16,CHANCA-16,260540.55,8386783.8,6.74,KUNTURKANKI,C.C. Casillo,Canas,Presa
CHANCA-17,CHANCA-17,261077.71,8387158.18,1.08,KUNTURKANKI,C.C. Casillo,Canas,Qocha
CHAQUI-04,SULCAPARINA,268510.49,8319789.4,8.44,OCORURO,C.C. Huaytacucho,Espinar,Presa
CHAQUI-05,CHAQUI-05,268059.7,8319487.16,1.93,OCORURO,C.C. Huaytacucho,Espinar,Qocha
CHAQUI-07,CHAQUI-07,271181.91,8318616.19,2,OCORURO,C.C. Huaytacucho,Espinar,Qocha
CHAQUI-08,CHAQUI-08,273704.57,8319247.91,3.5,OCORURO,C.C. Huaytacucho,Espinar,Presa
CHAQUI-09,CHAQUI-09,269733.9,8315446.23,0.63,OCORURO,C.C. Huaytacucho,Espinar,Qocha
CHAQUI-10,QUELLAQOCHA,268901.48,8314451.21,1.91,CONDOROMA,C.C. Huaytacucho,Espinar,Qocha
CHAQUI-11,CHAQUI-11,267382.63,8314509.65,12.77,CONDOROMA,C.C. Huaytacucho,Espinar,Presa
CHAQUI-12,ISCAYQOCHA1,268794.3,8313039.15,7.09,CONDOROMA,C.C. Huaytacucho,Espinar,Qocha
CHAQUI-17,CHAQUI-17,268758.64,8312312.7,3.87,CONDOROMA,C.C. Huaytacucho,Espinar,Qocha
CHAQUI-19,CHAQUI-19,271674.99,8316200.23,0.7,OCORURO,C.C. Huaytacucho,Espinar,Qocha
CHAQUI-21,CHAQUI-21,276575.71,8317588.49,1.69,OCORURO,C.C. Chectachancara,Espinar,Qocha
CHAQUI-22,CHAQUI-22,276974.81,8317653.57,2.09,OCORURO,C.C. Chectachancara,Espinar,Presa
CHILLO-01,APANTA,202502.34,8385408.99,10.89,LIVITACA,Asociacion Apanta,Chumbivilcas,Presa
CHILLO-02,OTOQOCHA,203411.81,8386620.67,2.66,LIVITACA,Asociacion Apanta,Chumbivilcas,Presa
CHILLO-03,TUMILLAQOCHA-LLECAHUANI,203175.31,8387032.43,7.03,LIVITACA,Asociacion Apanta,Chumbivilcas,Presa
CHILLO-04,TAYP'YCHAKO-TEPSERCOCHA,202767.17,8386868.79,2.8,LIVITACA,Asociacion Apanta,Chumbivilcas,Qocha
CHILLO-05,LEQCHEQOCHA,201445.56,8386861.67,2.09,LIVITACA,Asociacion Apanta,Chumbivilcas,Qocha
CHILLO-06,WAYÑACCOTA,201935.73,8387928.51,1.92,LIVITACA,Asociacion Apanta,Chumbivilcas,Qocha
CHILLO-07,WELAQOTA,202950.51,8384296.87,2.69,LIVITACA,Asociacion Apanta,Chumbivilcas,Qocha
CHILLO-08,CHAMPANI_AYGARAN,204021.38,8382937.7,4.17,LIVITACA,Asociacion Llanqopi,Chumbivilcas,Presa
CHILLO-10,HATUNCONDORQOCHA,206007.03,8382740.21,20.29,LIVITACA,Asociacion Llanqopi,Chumbivilcas,Presa
CHILLO-11,HUCHUYCODORQOCHA,206024.52,8383290.8,4.74,LIVITACA,Asociacion Llanqopi,Chumbivilcas,Presa
CHILLO-12,LAGUNA CHAQUI SARACUTA,204825.76,8382291.96,3.69,LIVITACA,Asociacion Llanqopi,Chumbivilcas,Qocha
